Most Recent Health Inspection More Than 2 Years Ago,Overall Rating,Health Inspection Rating,Staffing Rating,RN Staffing Rating,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,performance_id
False,5.0,4.0,3.0,3.0,11.333,0,0,0,$0.00,0,0,318
False,5.0,5.0,4.0,3.0,2.667,0,1,0,$0.00,0,0,319
False,5.0,4.0,3.0,3.0,12.667,0,0,0,$0.00,0,0,320
False,5.0,4.0,4.0,3.0,9.333,0,0,0,$0.00,0,0,321
False,3.0,2.0,5.0,5.0,48.667,0,0,0,$0.00,0,0,322
False,2.0,2.0,3.0,3.0,46.0,0,8,2,$11331.00,0,2,323
False,1.0,1.0,2.0,3.0,49.333,0,4,0,$0.00,0,0,324
False,3.0,4.0,1.0,1.0,8.667,0,0,0,$0.00,0,0,325
False,3.0,3.0,2.0,3.0,17.167,0,2,0,$0.00,0,0,326
False,2.0,3.0,3.0,3.0,21.333,0,0,0,$0.00,0,0,327
False,2.0,1.0,4.0,4.0,55.667,2,1,0,$0.00,1,1,328
False,3.0,2.0,3.0,3.0,34.667,0,2,1,$3200.00,0,1,329
False,4.0,3.0,4.0,3.0,27.333,0,0,0,$0.00,0,0,330
False,3.0,2.0,4.0,4.0,32.0,1,10,1,$9913.00,0,1,331
False,2.0,1.0,4.0,4.0,72.667,0,16,2,$4355.00,0,2,332
False,1.0,1.0,2.0,3.0,102.333,1,5,2,$66593.00,0,2,333
False,2.0,3.0,1.0,2.0,24.667,0,11,0,$0.00,0,0,334
False,4.0,4.0,4.0,3.0,8.0,0,2,0,$0.00,0,0,335
False,1.0,2.0,3.0,3.0,32.667,1,2,0,$0.00,0,0,336
False,3.0,3.0,,,20.667,0,0,0,$0.00,0,0,337
False,5.0,3.0,4.0,4.0,19.333,0,0,0,$0.00,0,0,338
False,4.0,3.0,4.0,3.0,22.667,0,0,0,$0.00,0,0,339
